Link,Title,Description,Date
3dnews.ru/1080246/v-evrope-naydeno-krupneyshee-v-etoy-chasti-sveta-mestorogdenie-redkozemelnih-metallov,В Лапландии нашли крупнейшее в Европе месторождение редкоземельных металлов ,"Стволы заброшенных шахт могут стать основой для создания гравитационных аккумуляторов, считают учёные из австрийского Международного института прикладного системного анализа (IIASA). Шахты уже имеют необходимую для этого инфраструктуру и могут быть сравнительно легко приспособлены для нужд резервного хранения энергии. Это может быть актуально для таких стран, как США, Россия, Китай и Индия, где ресурсы добываются давно и в больших масштабах.",13.01.2023 12:50 
3dnews.ru/1080247/airbus-testiruet-avtonomnie-polyoti-avialaynerov-v-ramkah-proekta-dragonfly,Airbus хочет сделать авиалайнеры более автономными — тесты технологий уже начались ,Правительственные структуры КНР хотят приобрести так называемые золотые акции местных техногигантов Alibaba и Tencent — это позволит Пекину усилить контроль над ключевыми игроками отрасли в стране. Но это скорее хороший знак для компаний.,13.01.2023 12:13 
3dnews.ru/1080248/eksperti-gartner-toge-schitayut-chto-rinok-pk-ne-vernyotsya-k-rostu-v-etom-godu,Спрос на ПК будет падать на протяжении всего 2023 года ,"Редкоземельные ресурсы на Земле постепенно становятся всё более ценными. Батареи, магниты, электродвигатели и электроника XXI века немыслимы без компонентов из редкоземельных элементов. Тем ценнее каждое открытое на Земле месторождение таких металлов и оно становится бесценным при находке в развитых странах, где всё давным-давно разведано. Например, как только что обнаруженное в Швеции крупнейшее в Европе месторождение редкоземельных металлов.",13.01.2023 11:58 
3dnews.ru/1080243/lucid-motors-proizvela-v-2022-godu-7180-elektromobiley-bolshe-chem-rasschitivala,"Lucid Motors произвела в 2022 году 7180 электромобилей — больше, чем планировала ","Компания Airbus испытывает новые автоматизированные технологии, потенциально способные повысить безопасность и эффективность полётов. В рамках проекта DragonFly предусмотрены автоматическое изменение маршрута в экстренных ситуациях, а также автоматические посадки и даже выруливание на земле.",13.01.2023 11:13 
3dnews.ru/1080240/masshtabniy-kompyuterniy-sboy-v-sisteme-aviaupravleniya-ssha-eto-akt-sabotaga-pokazalo-predvaritelnoe-rassledovanie,Недавняя отмена всех авиарейсов в США произошла из-за повреждения всего одного файла ,"Аналитики Canalys и IDC уже поделились своими прогнозами по динамике рынка ПК в этом году, и на фоне негативной динамики прошлого года они не особо оптимистичны. Как и указанные коллеги, специалисты Gartner тоже отметили, что в прошлом году объёмы продаж сократились на 16,2 % до 286,2 млн штук, а спрос не вернётся к росту до начала 2024 года.",13.01.2023 10:55 
3dnews.ru/1080237/bazovaya-versiya-tesla-model-y-v-ssha-podeshevela-srazu-na-13-000,Базовая версия Tesla Model Y в США подешевела сразу на $13 000 ,"Прошлый год был не самым простым для производителей электромобилей. С одной стороны, спрос на их продукцию рос устойчивыми темпами. С другой стороны, удовлетворить его было сложно из-за дефицита компонентов и роста цен на материалы. Американской компании Lucid Motors удалось скорректировать свои ожидания так, что по итогам года она перевыполнила план, выпустив 7180 электромобилей.",13.01.2023 09:55 
3dnews.ru/1080236/pentagon-opublikoval-dolgogdanniy-doklad-2022-goda-posvyashchyonniy-nlo-amerikanskoe-pravitelstvo-vosprinimaet-informatsiyu-vpolne-seryozno,Пентагон опубликовал доклад по НЛО за 2022 год — власти США воспринимают информацию вполне серьёзно ,"Федеральное управление гражданской авиации США (FAA) опубликовало заявление о предварительных результатах расследования компьютерного сбоя, который 11 января заставил отменить практически все вылеты гражданской авиации в стране. В сбое обвинили двух людей, действия которых умышленно или нет привели к повреждению файла с данными.",13.01.2023 09:20 
3dnews.ru/1080234/defitsit-poluprovodnikovih-komponentov-snizil-obyomi-postavok-avtomobiley-volkswagen-do-11letnego-minimuma,Дефицит полупроводниковых компонентов снизил объёмы поставок автомобилей Volkswagen до 11-летнего минимума ,"С весны прошлого года Tesla повышала цены свои электромобили чаще и сильнее обычного, но тогда Илон Маск (Elon Musk) пообещал откатить эти непопулярные изменения в случае нормализации ситуации с поставками чипов и материалов, используемых при производстве электромобилей и тяговых аккумуляторов для них. На этой неделе цена базовой версии Tesla Model Y опустилась сразу на $13 000.",13.01.2023 08:37 
3dnews.ru/1080229/vo-vseh-modelyah-apple-iphone-15-budut-ispolzovatsya-otverstiya-dlya-selfikamer-vmesto-chyolok,Во всех моделях Apple iPhone 15 могут появиться отверстия для селфи-камер вместо «чёлок» ,"Пентагон наконец опубликовал «Ежегодный доклад о неопознанных воздушных явлениях» за 2022 год — обнародованная в четверг Управлением национальной разведки информация рассекречена, но её опубликовали с задержкой в несколько месяцев, намного позже, чем планировалось.",13.01.2023 07:55 
3dnews.ru/1080231/pristavka-eq-ischeznet-iz-nazvaniy-modeley-elektromobiley-mercedesbenz-k-kontsu-sleduyushchego-goda,Приставка EQ исчезнет из названий моделей электромобилей Mercedes-Benz к концу следующего года ,"Во многом дефицит полупроводниковых чипов Toyota должна благодарить за возможность уже второй год подряд считаться крупнейшим производителем автомобилей и сохранять существенный отрыв от концерна Volkswagen. Итоги прошлого года для последнего тоже были неутешительными: было продано на 7 % меньше машин, чем годом ранее, а вообще объёмы поставок снизились до 11-летнего минимума.",13.01.2023 07:49 
3dnews.ru/1080227/tim-kuk-soglasilsya-snizit-voznagragdenie-za-svoyu-rabotu-na-postu-glavi-apple-v-etom-godu-na-40-,Тим Кук согласился снизить вознаграждение за свою работу на посту главы Apple в этом году на 50 % ,Компания Apple намерена использовать дисплеи с отверстиями для селфи-камер во всех четырёх моделях серии iPhone 15. Сейчас такая схема применяется только для двух вариантов — Pro-версий последнего поколения.,13.01.2023 06:38 
3dnews.ru/1080222/ek-water-blocks-vipustila-vodobloki-sgo-pryamogo-kontakta-s-kristallami-protsessorov-intel-alder-lake-i-raptor-lake,"EK Water Blocks выпустила водоблоки, которые устанавливаются на «голый» кристалл Intel Alder Lake и Raptor Lake ","Необходимость соседства в модельной линейке электромобилей и машин с ДВС некоторое время назад вынудила компанию Mercedes-Benz предусмотреть для обозначения первых сочетание символов «EQ», но такое нововведение было воспринято клиентами неоднозначно. По данными немецких СМИ, уже в конце следующего года компания начнёт избавляться от этой системы обозначений электромобилей.",12.01.2023 22:27 
